lng,lat,dom_turi,adres_tuman,dom_qavatlar_soni,kv_maydoni,kv_qavat,kv_xonalar_soni,maydon/xona,narxi
69.3473509,41.3292204,past,Mirzo Ulugbek,5,59.0,4,2,29.5,38500
69.2475235,41.3333453,past,Olmzor,4,33.0,3,1,33.0,33500
69.2638823,41.3051824,orta,Mirobod,9,60.0,2,2,30.0,60000
69.329196,41.3373845,orta,Mirzo Ulugbek,6,70.0,3,2,35.0,85000
69.2771853,41.374408,past,Yunusobod,5,62.0,2,2,31.0,49000
69.2982672,41.3242397,orta,Mirzo Ulugbek,8,214.0,2,4,53.5,380000
69.3570255,41.3423004,past,Mirzo Ulugbek,4,60.0,4,2,30.0,32000
69.2771853,41.374408,past,Yunusobod,5,83.0,3,2,41.5,50000
69.2771853,41.374408,orta,Yunusobod,9,77.0,4,2,38.5,52000
69.2873919,41.3507755,orta,Yunusobod,9,68.0,6,2,34.0,56000
69.2922234,41.3104865,past,Mirzo Ulugbek,5,66.0,3,3,22.0,56000
69.2773236,41.3653679,past,Yunusobod,4,58.0,1,2,29.0,56000
69.3473509,41.3292204,past,Mirzo Ulugbek,5,70.0,5,3,23.333333333333332,46500
69.2771853,41.374408,past,Yunusobod,5,58.0,1,2,29.0,58000
69.2773236,41.3653679,orta,Yunusobod,8,60.0,7,2,30.0,59500
69.2844444,41.3188889,past,Yunusobod,4,74.0,3,2,37.0,63000
69.2773236,41.3197131,past,Yunusobod,4,78.0,4,3,26.0,56000
69.2102725,41.3275402,past,Shayhontohur,2,28.0,2,1,28.0,21000
69.2773236,41.3197131,past,Yunusobod,5,44.0,2,1,44.0,59999
69.3099734,41.273215,orta,Yashnobod,7,93.0,4,3,31.0,46500
69.1789807,41.2867929,past,Uchtepa,5,70.0,4,3,23.333333333333332,55000
69.275364,41.295316,orta,Mirobod,12,112.0,11,4,28.0,85500
69.1909015,41.2962523,past,Uchtepa,4,70.0,4,3,23.333333333333332,31800
69.2094809,41.3597078,past,Olmzor,5,70.0,5,3,23.333333333333332,34600
69.2730715,41.2983828,orta,Mirobod,9,100.0,8,4,25.0,160000
69.2207029,41.220067,orta,Sergeli,9,100.0,1,4,25.0,76000
69.2094809,41.3597078,past,Olmzor,4,56.0,4,2,28.0,32500
69.1638237,41.2606228,past,Uchtepa,4,60.0,4,2,30.0,29900
69.2996732,41.3587493,orta,Yunusobod,9,70.0,3,3,23.333333333333332,64000
69.300233,41.285135,past,Mirobod,5,112.0,4,3,37.333333333333336,80000
69.2892434,41.3171406,orta,Mirzo Ulugbek,9,100.0,5,5,20.0,80000
69.2785087,41.2991561,orta,Mirobod,8,235.0,6,5,47.0,395000
69.2320856,41.3273237,past,Yashnobod,4,58.0,2,2,29.0,37000
69.1968618,41.2829494,past,Chilonzor,4,52.0,4,2,26.0,32000
69.3228615,41.3146381,orta,Yashnobod,9,62.0,9,2,31.0,34000
69.363559,41.354643,past,Mirzo Ulugbek,4,16.0,1,1,16.0,18000
69.3439999,41.3015152,past,Yashnobod,4,67.0,4,3,22.333333333333332,39000
69.2281531,41.3645355,past,Olmzor,5,92.0,3,4,23.0,63000
69.3235123,41.286283,past,Yashnobod,4,67.0,4,3,22.333333333333332,39000
69.3434849,41.2896055,past,Yashnobod,4,67.0,4,3,22.333333333333332,39000
69.3473509,41.3292204,past,Mirzo Ulugbek,4,16.0,1,1,16.0,18000
69.2552731,41.2955315,past,Yakkasaroy,4,45.0,3,1,45.0,40000
69.3491897,41.2853546,orta,Yashnobod,9,30.0,7,2,15.0,20900
69.2769129,41.2910722,orta,Mirobod,8,180.0,6,4,45.0,235000
69.2460335,41.2765672,orta,Yakkasaroy,9,60.0,4,2,30.0,50000
69.2552666,41.2818558,orta,Yakkasaroy,9,142.0,1,6,23.666666666666668,135000
69.2769129,41.2910722,orta,Mirobod,9,85.0,3,3,28.333333333333332,86000
69.293391,41.314662,past,Mirzo Ulugbek,4,65.0,1,2,32.5,67000
69.1789807,41.2867929,past,Uchtepa,5,80.0,1,4,20.0,55000
69.2922234,41.3104865,past,Mirzo Ulugbek,5,50.0,2,2,25.0,35000
69.2475235,41.3333453,past,Olmzor,5,55.0,2,2,27.5,41000
69.2527386,41.3289182,orta,Shayhontohur,9,70.0,2,3,23.333333333333332,52000
69.4292923,41.4153867,orta,Yunusobod,9,104.0,6,4,26.0,74000
69.2922234,41.3104865,orta,Mirzo Ulugbek,9,70.0,7,3,23.333333333333332,55000
69.2512486,41.2697288,orta,Yakkasaroy,9,44.0,2,1,44.0,27000
